topic,year submitted,question
Annexation,2019,How do you plan to address the annexation issue differently than has been done until now?
Annexation,2019,"Regarding the annexation, the Board has not received the required number of ballots from the homeowners that were properly annexed into the HOA.  What would you propose as a board member to gather the remaining ballots needed to resolve this issue?"
Board authority,2018,"Per the bylaws, the board makes all decisions. As a board member, how would you handle major expenditures and assessment increases?"
Board authority,2018,"Do you think we need a management company for our hoa? If not, how would you handle those functions and what other alternatives would you provide? If so, would you push to replace hinson management in the first year of your term?"
Board authority,2018,Will large expenditures (determined amount) be voted on by residents or does board have power to approve or disapprove everything?
Board authority,2018,"(A)what exactly will hinson management duties entail?—(b) are you in favor of dumping hinson management as soon as possible? Why or why not?—(c)do you think we need a management company for our hoa? If not, who would handle those functions? If so, would you push to replace hinson management in the first year of your term?"
Board authority,2018,"(A)will the rules and regulations be enforced and by whom? —(b) how are you going to make sure that some people don’t keep getting away with violating the rules?—(c) are there any rules in the hoa covenant & restrictions or bylaws that you would want to change, or remove, or add?"
Board authority,2018,"Right now, the hoa has a few committees (architectural review, pool, landscaping, townhomes, patio homes). Would you continue to use committees?"
Board authority,2019,"Some of the comments made on Next Door appear to bully, shame or attack specific individuals both on and off the Board, either by name or other identifiable reference. As a Board member, if you have a say in removing those kinds of posts what will you recommend? At what point, if any, would you support banning individuals from future posts when they have a history of bullying, shaming or attacking individuals?"
Board authority,2019,"The By-laws and Covenants are specific in their requirements and prohibitions. As a potential member of the Board, how will you vote on an issue when your personal opinions are in conflict with the By-laws or Covenants?"
Board authority,2020,"Board members often have to make hard decisions on budget allocations, expenditures, rules enforcement and collection of delinquent assessments. How will you approach making these decisions?"
Board authority,2021,"Do you know if in the covenants and restrictions can a special assessment be put on any property that has for example a fence that is falling down and degrading the neighborhood and the owner does nothing to fix it, and the special assessment is for the association having it fixed."
Budget,2018,Do you really take the reserves study seriously and plan to raise our hoa fees like it suggests?
